AGRUPACION1,estado,municipio,tipo,producto,DESCRIPCION,VALOR,TABULADO,ESTATUS
,1,Aguascalientes,Anuales,Calabaza,Producción obtenida-Toneladas,13.5000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Aguascalientes,Anuales,Chile,Producción obtenida-Toneladas,220.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Aguascalientes,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,151.1000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Asientos,Anuales,Chile,Producción obtenida-Toneladas,20.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Asientos,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,2220.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Asientos,Anuales,Pepino,Producción obtenida-Toneladas,100.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Asientos,Anuales,Tomate de cáscara,Producción obtenida-Toneladas,3.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Asientos,Perennes,Durazno,Producción obtenida-Toneladas,1868.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Calvillo,Anuales,Calabaza,Producción obtenida-Toneladas,1.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Calvillo,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,1303.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Calvillo,Perennes,Guayaba,Producción obtenida-Toneladas,1446.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Calvillo,Perennes,Nopal blanco,Producción obtenida-Toneladas,1.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Cosío,Anuales,Chile,Producción obtenida-Toneladas,40.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Cosío,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,180.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Jesús María,Anuales,Chile,Producción obtenida-Toneladas,100.8000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Jesús María,Anuales,Coliflor,Producción obtenida-Toneladas,35.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Jesús María,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,581.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Jesús María,Anuales,Pepino,Producción obtenida-Toneladas,30.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Jesús María,Anuales,Tomate de cáscara,Producción obtenida-Toneladas,20.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Pabellón de Arteaga,Anuales,Chile,Producción obtenida-Toneladas,5.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Pabellón de Arteaga,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,325.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Pabellón de Arteaga,Anuales,Pepino,Producción obtenida-Toneladas,24.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Pabellón de Arteaga,Perennes,Fresa,Producción obtenida-Toneladas,879.8000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Pabellón de Arteaga,Perennes,Otros cultivos,Producción obtenida-Toneladas,0.8800000000000,ena17_mun_agri13,Cifras Definitivas
,1,Rincón de Romos,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,16.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Rincón de Romos,Perennes,Fresa,Producción obtenida-Toneladas,210.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Rincón de Romos,Perennes,Otros cultivos,Producción obtenida-Toneladas,30.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,San José de Gracia,Perennes,Nopal blanco,Producción obtenida-Toneladas,17.0000000000000,ena17_mun_agri13,Cifras Definitivas
,1,Tepezalá,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,1210.3000000000000,ena17_mun_agri13,Cifras Definitivas
,1,San Francisco de los Romo,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,4970.0000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Anuales,Albahaca,Producción obtenida-Toneladas,443.2200000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Anuales,Berenjena,Producción obtenida-Toneladas,188.5000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Anuales,Brócoli,Producción obtenida-Toneladas,9.6000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Anuales,Calabaza,Producción obtenida-Toneladas,1793.5000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Anuales,Cebolla,Producción obtenida-Toneladas,1.5900000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Anuales,Chile,Producción obtenida-Toneladas,1560.3400000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Anuales,Ejote,Producción obtenida-Toneladas,28.9900000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Anuales,Hierbabuena,Producción obtenida-Toneladas,60.0800000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,219718.9300000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Anuales,Pepino,Producción obtenida-Toneladas,80439.2900000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Anuales,Tomate de cáscara,Producción obtenida-Toneladas,50.0000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Perennes,Arándano,Producción obtenida-Toneladas,2763.6000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Perennes,Clavel,Producción obtenida-Toneladas,2.0000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Perennes,Frambuesa,Producción obtenida-Toneladas,8035.3000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Perennes,Fresa,Producción obtenida-Toneladas,3991.0300000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Perennes,Rosa,Producción obtenida-Toneladas,20.0000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Ensenada,Perennes,Otros cultivos,Producción obtenida-Toneladas,302.3500000000000,ena17_mun_agri13,Cifras Definitivas
,2,Mexicali,Anuales,Chile,Producción obtenida-Toneladas,60.0000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Mexicali,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,2.0000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Tijuana,Anuales,Chile,Producción obtenida-Toneladas,5.0000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Tijuana,Anuales,Espinaca,Producción obtenida-Toneladas,8.1000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Tijuana,Anuales,Hierbabuena,Producción obtenida-Toneladas,0.0800000000000,ena17_mun_agri13,Cifras Definitivas
,2,Tijuana,Anuales,Pepino,Producción obtenida-Toneladas,735.0000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Tijuana,Perennes,Pino,Producción obtenida-Toneladas,1.0000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Playas de Rosarito,Anuales,Pepino,Producción obtenida-Toneladas,35.5000000000000,ena17_mun_agri13,Cifras Definitivas
,2,Playas de Rosarito,Perennes,Otros cultivos,Producción obtenida-Toneladas,1.7100000000000,ena17_mun_agri13,Cifras Definitivas
,3,Comondú,Anuales,Calabaza,Producción obtenida-Toneladas,100.0000000000000,ena17_mun_agri13,Cifras Definitivas
,3,Comondú,Anuales,Chile,Producción obtenida-Toneladas,666.0900000000000,ena17_mun_agri13,Cifras Definitivas
,3,Comondú,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,5304.4200000000000,ena17_mun_agri13,Cifras Definitivas
,3,Comondú,Anuales,Pepino,Producción obtenida-Toneladas,325.0000000000000,ena17_mun_agri13,Cifras Definitivas
,3,Comondú,Anuales,Otros cultivos,Producción obtenida-Toneladas,40.0000000000000,ena17_mun_agri13,Cifras Definitivas
,3,Mulegé,Anuales,Chile,Producción obtenida-Toneladas,20362.0000000000000,ena17_mun_agri13,Cifras Definitivas
,3,Mulegé,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,91961.3300000000000,ena17_mun_agri13,Cifras Definitivas
,3,Mulegé,Anuales,Pepino,Producción obtenida-Toneladas,19195.0000000000000,ena17_mun_agri13,Cifras Definitivas
,3,La Paz,Anuales,Albahaca,Producción obtenida-Toneladas,1551.6200000000000,ena17_mun_agri13,Cifras Definitivas
,3,La Paz,Anuales,Chile,Producción obtenida-Toneladas,1632.0000000000000,ena17_mun_agri13,Cifras Definitivas
,3,La Paz,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,14066.5000000000000,ena17_mun_agri13,Cifras Definitivas
,3,La Paz,Anuales,Pepino,Producción obtenida-Toneladas,8244.0800000000000,ena17_mun_agri13,Cifras Definitivas
,3,La Paz,Anuales,Otros cultivos,Producción obtenida-Toneladas,60.6000000000000,ena17_mun_agri13,Cifras Definitivas
,3,Los Cabos,Anuales,Chile,Producción obtenida-Toneladas,2.7000000000000,ena17_mun_agri13,Cifras Definitivas
,3,Los Cabos,Perennes,Crisantemo,Producción obtenida-Toneladas,50.0000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Calkiní,Anuales,Cilantro,Producción obtenida-Toneladas,1.0000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Campeche,Anuales,Calabaza,Producción obtenida-Toneladas,1.0000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Campeche,Anuales,Chile,Producción obtenida-Toneladas,1.2000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Campeche,Anuales,Cilantro,Producción obtenida-Toneladas,5.0000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Campeche,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,125.0000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Campeche,Anuales,Pepino,Producción obtenida-Toneladas,3.5000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Campeche,Anuales,Rábano,Producción obtenida-Toneladas,1.0000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Campeche,Anuales,Otros cultivos,Producción obtenida-Toneladas,3.0000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Champotón,Anuales,Cilantro,Producción obtenida-Toneladas,2.0000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Champotón,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,0.4000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Champotón,Anuales,Lechuga,Producción obtenida-Toneladas,60.0000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Champotón,Anuales,Pepino,Producción obtenida-Toneladas,1.5000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Champotón,Anuales,Rábano,Producción obtenida-Toneladas,4.0000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Hopelchén,Anuales,Chile,Producción obtenida-Toneladas,10.0000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Hopelchén,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,25.0000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Escárcega,Anuales,Cilantro,Producción obtenida-Toneladas,0.0100000000000,ena17_mun_agri13,Cifras Definitivas
,4,Escárcega,Anuales,Hierbabuena,Producción obtenida-Toneladas,0.1500000000000,ena17_mun_agri13,Cifras Definitivas
,4,Escárcega,Anuales,Perejil,Producción obtenida-Toneladas,0.1000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Escárcega,Anuales,Sandía,Producción obtenida-Toneladas,0.1000000000000,ena17_mun_agri13,Cifras Definitivas
,4,Escárcega,Anuales,Otros cultivos,Producción obtenida-Toneladas,2.0000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Arteaga,Anuales,Calabaza,Producción obtenida-Toneladas,1.3900000000000,ena17_mun_agri13,Cifras Definitivas
,5,Arteaga,Anuales,Chile,Producción obtenida-Toneladas,2000.0000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Arteaga,Anuales,Cilantro,Producción obtenida-Toneladas,2.7000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Arteaga,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,7.0000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Arteaga,Anuales,Lechuga,Producción obtenida-Toneladas,23.0000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Arteaga,Perennes,Arándano,Producción obtenida-Toneladas,0.1000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Arteaga,Perennes,Manzana,Producción obtenida-Toneladas,3014.7000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Arteaga,Perennes,Nopal blanco,Producción obtenida-Toneladas,400.0000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Arteaga,Perennes,Otros cultivos,Producción obtenida-Toneladas,7.0000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Cuatro Ciénegas,Perennes,Nopal blanco,Producción obtenida-Toneladas,80.0000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Francisco I. Madero,Anuales,Calabaza,Producción obtenida-Toneladas,400.0000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Francisco I. Madero,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,630.0000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Matamoros,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,16105.0000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Matamoros,Anuales,Pepino,Producción obtenida-Toneladas,168.0000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Matamoros,Anuales,Otros cultivos,Producción obtenida-Toneladas,170.0000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Parras,Anuales,Jitomate (tomate rojo),Producción obtenida-Toneladas,6693.9000000000000,ena17_mun_agri13,Cifras Definitivas
,5,Ramos Arizpe,Anuales,Chile,Producción obtenida-Toneladas,200.3000000000000,ena17_mun_agri13,Cifras Definitivas
